Name,Date & Time,Location,Type,Region,Latitude,Longitude,weather,temperature,wind_speed,wind_direction
Aryana Leon,1/25/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,Rain,53,9 mph,S
Colorworks,1/25/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,Rain,53,9 mph,S
Dar Williams,1/25/2024,The Neptune Theatre,Music,University District,,,Rain,53,9 mph,S
Deb Perelman,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,9 mph,S
Emanuel Brown,1/25/2024,Chop Suey,Music,Capitol Hill / Central District,47.6135323,-122.31445524950736,Rain,53,9 mph,S
James Miles,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,9 mph,S
Madeline Pendleton,1/25/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,47.6146657,-122.319677,Rain,53,9 mph,S
October London,1/25/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
Tacoma Stars vs. Empire Strykers,1/25/2024,accesso ShoWare Center,Sports,South,,,Rain,53,9 mph,S
Dungeons and Drag Queens,1/26/2024,The Crocodile,Theatre,Downtown,47.6146474,-122.3490734,Rain,53,9 mph,S
Global Rhythms: Yungchen Lhamo,1/26/2024,Town Hall Seattle,Music,Downtown,47.6090191,-122.32993774092222,Rain,53,9 mph,S
Harlem Globetrotters 2024 World Tour –,1/26/2024,accesso ShoWare Center,Sports,South,,,Rain,53,9 mph,S
Seattle Kraken vs. St. Louis Blues,1/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,9 mph,S
Shelf Nunny,1/26/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,Rain,53,9 mph,S
Super Diamond – The Neil Diamond Tribute Band,1/26/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
The Disorderlies,1/26/2024,Slim's Last Chance,Music,South Seattle,47.5524903,-122.33389967462686,Rain,53,9 mph,S
Compania Nacional de Danza,1/25/2024 through 1/27/2024,Meany Center for the Performing Arts,Dance,University District,,,Rain,53,9 mph,S
Metropolis,1/25/2024 through 1/27/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,9 mph,S
Andy Coe Band,1/26/2024 through 1/27/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,Rain,53,9 mph,S
Harlem Globetrotters,1/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,9 mph,S
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024,accesso ShoWare Center,Sports,South,,,Rain,53,9 mph,S
The Budos Band,1/27/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
The Human Family,1/27/2024,Opera Center,Music,Queen Anne / Seattle Center,47.6240043,-122.3494506540469,Rain,53,9 mph,S
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,Rain,53,13 mph,S
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,47.60719095,-122.32405377084557,Rain,53,9 mph,S
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,,,Rain,53,9 mph,S
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,47.6086439,-122.337685,Rain,53,10 mph,S
Lee Ritenour and Dave Grusin,1/25/2024 through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain,53,9 mph,S
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,9 mph,S
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,Rain,53,9 mph,S
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Rain,53,9 mph,S
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,,,Rain,53,9 mph,S
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082916,Rain,53,9 mph,S
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,Rain,53,9 mph,S
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,47.6086439,-122.337685,Rain,53,9 mph,S
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391,Rain,53,9 mph,S
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,,,Rain,53,9 mph,S
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Rain,52,8 mph,S
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Rain,52,8 mph,S
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain,53,9 mph,S
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,47.6514631,-122.3517391,Rain,53,9 mph,S
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,,,Rain,53,9 mph,S
JP Saxe,1/31/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
Los Lobos,1/31/2024,The Triple Door,Music,Downtown,47.6086439,-122.337685,Rain,53,9 mph,S
BabyTron,2/1/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,,Rain,53,9 mph,S
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,Rain,53,9 mph,S
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,,,Rain,53,9 mph,S
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,,,Rain,53,9 mph,S
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,,,Rain,53,9 mph,S
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,Rain,53,9 mph,S
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,9 mph,S
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,Rain,53,9 mph,S
Poolside,2/2/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,,,Rain,53,9 mph,S
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,47.6258303,-122.3581949,Rain,53,9 mph,S
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,9 mph,S
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,,,Rain,53,9 mph,S
Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown,,,Rain,53,9 mph,S
Mau P,2/3/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown,,,Rain,53,9 mph,S
The Delta Bombers,2/3/2024,El Corazon,Music,Downtown,47.6188258,-122.3293843,Rain,53,9 mph,S
Seattle Chamber Music Winter Festival,1/26/2024 through 2/4/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,9 mph,S
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702704,Rain,53,9 mph,S
Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain,53,9 mph,S
Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown,,,Rain,53,9 mph,S
Lil Skies,2/4/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown,,,Rain,53,9 mph,S
Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,Rain,53,9 mph,S
Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,9 mph,S
Night Lovell,2/6/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
Soja,2/6/2024,The Neptune Theatre,Music,University District,,,Rain,53,9 mph,S
Kenny Barron Trio,2/6/2024 through 2/7/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,Rain,53,9 mph,S
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,9 mph,S
The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square,47.5880461,-122.333928,Rain,53,9 mph,S
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Rain,53,9 mph,S
Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,,Rain,53,9 mph,S
Eric Bellinger,2/8/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
Futurebirds and Nude Party,2/8/2024,The Neptune Theatre,Music,University District,,,Rain,53,9 mph,S
Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown,,,Rain,53,9 mph,S
Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard,47.6523876,-122.3538541520202,Rain,53,9 mph,S
The Thorn,2/8/2024 through 2/9/2024,The Paramount Theatre,Theatre,Downtown,,,Rain,53,9 mph,S
Barry Can’t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,Rain,53,9 mph,S
Dark Star Orchestra,2/9/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,Rain,53,9 mph,S
Gov’t Mule,2/9/2024,The Moore Theatre,Music,Downtown,,,Rain,53,9 mph,S
Mayer Hawthorne,2/9/2024,The Neptune Theatre,Music,University District,,,Rain,53,9 mph,S
Moontricks,2/9/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,Rain,53,9 mph,S
